"","species","run","run.env","time","pop"
"1","1",1,-0.867091862843178,0,57
"2","2",1,-0.867091862843178,0,74
"3","3",1,-0.867091862843178,0,54
"4","4",1,-0.867091862843178,0,0
"5","5",1,-0.867091862843178,0,132
"6","6",1,-0.867091862843178,0,21
"7","7",1,-0.867091862843178,0,128
"8","8",1,-0.867091862843178,0,0
"9","9",1,-0.867091862843178,0,5
"10","10",1,-0.867091862843178,0,98
"11","1",1,-0.867091862843178,1,49.5670231046252
"12","2",1,-0.867091862843178,1,88.6587962488684
"13","3",1,-0.867091862843178,1,88.4015671014321
"14","4",1,-0.867091862843178,1,0
"15","5",1,-0.867091862843178,1,370.62048858634
"16","6",1,-0.867091862843178,1,25.3422806379213
"17","7",1,-0.867091862843178,1,102.234869438035
"18","8",1,-0.867091862843178,1,0
"19","9",1,-0.867091862843178,1,4.70549793155443
"20","10",1,-0.867091862843178,1,0.625997262563328
"21","1",2,-0.875792523961568,0,147
"22","2",2,-0.875792523961568,0,47
"23","3",2,-0.875792523961568,0,0
"24","4",2,-0.875792523961568,0,101
"25","5",2,-0.875792523961568,0,92
"26","6",2,-0.875792523961568,0,211
"27","7",2,-0.875792523961568,0,159
"28","8",2,-0.875792523961568,0,11
"29","9",2,-0.875792523961568,0,181
"30","10",2,-0.875792523961568,0,0
"31","1",2,-0.875792523961568,1,97.3168878209168
"32","2",2,-0.875792523961568,1,59.2767251294904
"33","3",2,-0.875792523961568,1,0
"34","4",2,-0.875792523961568,1,109.567842977206
"35","5",2,-0.875792523961568,1,256.647141943571
"36","6",2,-0.875792523961568,1,144.898935930741
"37","7",2,-0.875792523961568,1,115.284807223112
"38","8",2,-0.875792523961568,1,25.7507445806474
"39","9",2,-0.875792523961568,1,104.123736210811
"40","10",2,-0.875792523961568,1,0
"41","1",3,1.47483502202159,0,4
"42","2",3,1.47483502202159,0,0
"43","3",3,1.47483502202159,0,4
"44","4",3,1.47483502202159,0,0
"45","5",3,1.47483502202159,0,54
"46","6",3,1.47483502202159,0,75
"47","7",3,1.47483502202159,0,126
"48","8",3,1.47483502202159,0,0
"49","9",3,1.47483502202159,0,91
"50","10",3,1.47483502202159,0,193
"51","1",3,1.47483502202159,1,15.4919459001945
"52","2",3,1.47483502202159,1,0
"53","3",3,1.47483502202159,1,6.36692291849672
"54","4",3,1.47483502202159,1,0
"55","5",3,1.47483502202159,1,-11.0265122337343
"56","6",3,1.47483502202159,1,187.465350403545
"57","7",3,1.47483502202159,1,116.212024456827
"58","8",3,1.47483502202159,1,0
"59","9",3,1.47483502202159,1,292.44225390023
"60","10",3,1.47483502202159,1,231.857818840224
"61","1",4,0.00485361779582203,0,68
"62","2",4,0.00485361779582203,0,75
"63","3",4,0.00485361779582203,0,96
"64","4",4,0.00485361779582203,0,0
"65","5",4,0.00485361779582203,0,0
"66","6",4,0.00485361779582203,0,7
"67","7",4,0.00485361779582203,0,0
"68","8",4,0.00485361779582203,0,49
"69","9",4,0.00485361779582203,0,0
"70","10",4,0.00485361779582203,0,0
"71","1",4,0.00485361779582203,1,170.161649612644
"72","2",4,0.00485361779582203,1,84.8623100530975
"73","3",4,0.00485361779582203,1,187.300165872367
"74","4",4,0.00485361779582203,1,0
"75","5",4,0.00485361779582203,1,0
"76","6",4,0.00485361779582203,1,23.0409209848141
"77","7",4,0.00485361779582203,1,0
"78","8",4,0.00485361779582203,1,136.751992815511
"79","9",4,0.00485361779582203,1,0
"80","10",4,0.00485361779582203,1,0
"81","1",5,-1.29292949998109,0,70
"82","2",5,-1.29292949998109,0,154
"83","3",5,-1.29292949998109,0,237
"84","4",5,-1.29292949998109,0,103
"85","5",5,-1.29292949998109,0,52
"86","6",5,-1.29292949998109,0,66
"87","7",5,-1.29292949998109,0,129
"88","8",5,-1.29292949998109,0,263
"89","9",5,-1.29292949998109,0,0
"90","10",5,-1.29292949998109,0,0
"91","1",5,-1.29292949998109,1,38.1668059213881
"92","2",5,-1.29292949998109,1,207.144862716716
"93","3",5,-1.29292949998109,1,269.267366428007
"94","4",5,-1.29292949998109,1,126.963026538009
"95","5",5,-1.29292949998109,1,186.594578765524
"96","6",5,-1.29292949998109,1,57.2116623471841
"97","7",5,-1.29292949998109,1,103.073659834766
"98","8",5,-1.29292949998109,1,363.826069494186
"99","9",5,-1.29292949998109,1,0
"100","10",5,-1.29292949998109,1,0
"101","1",6,-0.130505177830634,0,80
"102","2",6,-0.130505177830634,0,68
"103","3",6,-0.130505177830634,0,4
"104","4",6,-0.130505177830634,0,0
"105","5",6,-0.130505177830634,0,125
"106","6",6,-0.130505177830634,0,1
"107","7",6,-0.130505177830634,0,13
"108","8",6,-0.130505177830634,0,0
"109","9",6,-0.130505177830634,0,77
"110","10",6,-0.130505177830634,0,0
"111","1",6,-0.130505177830634,1,116.839253322885
"112","2",6,-0.130505177830634,1,52.3821358051614
"113","3",6,-0.130505177830634,1,7.60795797318139
"114","4",6,-0.130505177830634,1,0
"115","5",6,-0.130505177830634,1,263.564312232808
"116","6",6,-0.130505177830634,1,1.96723021092907
"117","7",6,-0.130505177830634,1,16.161037987804
"118","8",6,-0.130505177830634,1,0
"119","9",6,-0.130505177830634,1,119.996800530126
"120","10",6,-0.130505177830634,1,0
"121","1",7,-0.943424589579018,0,124
"122","2",7,-0.943424589579018,0,36
"123","3",7,-0.943424589579018,0,28
"124","4",7,-0.943424589579018,0,147
"125","5",7,-0.943424589579018,0,47
"126","6",7,-0.943424589579018,0,0
"127","7",7,-0.943424589579018,0,0
"128","8",7,-0.943424589579018,0,191
"129","9",7,-0.943424589579018,0,102
"130","10",7,-0.943424589579018,0,120
"131","1",7,-0.943424589579018,1,95.7968710233325
"132","2",7,-0.943424589579018,1,61.7272101551447
"133","3",7,-0.943424589579018,1,58.2708675514789
