SimID,Size,LambdaIntDev,LambdaSlopeDev,IntraIntDev,IntraSlopeDev,GenericIntDev,GenericSlopeDev,NonGenericIntDev,NonGenericSlopeDev,NumNonGenericInt,NumNonGenericSlope,NumNonGenericSpecies,RMSE,PrelimMaxRhat,PrelimNumDiv,PrelimMeanNeff,FinalMaxRhat,FinalNumDiv,FinalMeanNeff
101,50,-0.032952278556126,0.0557019289449613,0.0366880550218811,-0.0187116902365509,-0.596270960246597,-0.0959095662869265,NA,2.95589131601186,0,1,1,0.230072761101255,1.00355713978441,2,3441.43715800179,1.00214654945775,0,5734.44294799174
102,50,0.0592232447167016,-0.0633414657347061,0.122772299005242,-0.116931912236804,0.316454315994695,0.319425170386064,NA,0.0598429037447028,0,1,1,0.245156131112139,1.00163833505931,0,4172.57092844717,1.00141719525481,0,6613.93367325107
103,50,-0.077873118865708,0.067002857318919,0.0301875886403082,0.0175830321526051,-0.901182431926468,0.0224512073993424,NA,NA,0,0,0,0.285305338270241,1.00272588920082,0,4328.09711372671,1.00058061090337,0,6206.56621181065
104,50,-0.165702730824567,-0.0297154828721817,-0.132433690694098,-0.0449183657363275,-0.891757324582284,-0.39543470130262,NA,NA,0,0,0,0.252825191114655,1.0021222110154,0,4107.00945023602,1.00404381670626,0,5030.93696216237
105,50,-0.134153418316071,0.0276452774046387,-0.0963327334277193,0.0970267437033603,-1.21268698959232,-0.0249649371770259,NA,-0.404206869084868,0,2,2,0.213231997707049,1.00210658996564,0,5013.96034700832,1.00166662364159,0,6788.26626119444
106,50,-0.101726282727768,0.00252287022033293,-0.102372507594191,0.00206628225896976,0.0969258648354572,0.080070102876869,NA,0.140215560949275,0,1,1,0.248119304888536,1.00296458510868,0,4181.50609420501,1.00052524639789,0,6235.83481338473
107,50,-0.254025611511608,-0.0113948811858025,-0.351337987809934,-0.029292753855708,-2.08842220758963,0.13314703200417,NA,NA,0,0,0,0.213191709943618,1.00423726726059,1,3581.11979432269,1.00074829936327,0,6939.66839312856
108,50,0.0670147004643713,0.0559006430756308,0.113828805633571,0.0650447765176922,-0.345385006355722,0.604644478909284,NA,NA,0,0,0,0.23886843377743,1.0016100442878,0,4491.32067388975,1.00429585397837,0,5243.32040293799
109,50,0.0637517333596591,0.0669257889291392,-0.159125524164916,0.704293982201525,0.19624189567681,-0.206537419428324,NA,NA,0,0,0,0.331628078622955,1.00855889092464,0,4315.6822611247,1.00088991114049,0,6908.93154221442
110,50,-0.0700907870009722,0.0490895019476979,0.00270011155277894,0.0148219472242702,-1.44735452742918,0.289131995267497,NA,NA,0,0,0,0.181817867591091,1.00175787886299,0,4581.74632953253,1.00147283112891,0,6332.21436397556
111,50,-0.328338736007988,0.0775544269024973,-0.721098356495208,0.411220916861816,-1.36303200578441,-0.264922040648948,0.567201762208744,-0.0430094506802687,1,1,2,0.342905265427498,1.00309295485554,0,4794.91535829128,1.00157125997961,0,5157.41809609523
112,50,-0.0487861886228609,-0.0327022286378494,-0.0529087506313859,-0.179976655290092,-2.10282546228172,0.269486800494137,NA,NA,0,0,0,0.398256639241536,1.00210793505244,0,4337.62438199841,1.00178418603916,0,5982.26215389486
113,50,-0.129070869080812,-0.176636486806032,-0.404223373590826,-0.0232702875933024,-1.54586772010787,0.059873935379446,NA,NA,0,0,0,0.531837087112246,1.00275336069623,0,5028.13419825649,1.00190153376288,0,7447.16745620911
114,50,-0.0750576733496686,-0.0442706776743649,-0.0719269307146853,-0.0370872432026295,-0.419548085649302,0.299461112026248,NA,NA,0,0,0,0.234786935090141,1.00195241925222,0,4940.89162702261,1.00190588079296,0,4326.53571382053
115,50,-0.0876023837745772,-0.00843596717350237,-0.0012105764576229,-0.039567474261171,-2.289673656956,0.258969489714074,NA,NA,0,0,0,0.192542386496992,1.00239657488441,0,4392.10401301838,1.00232849064023,0,4959.36816133599
116,50,-0.023839822326887,0.0796617519382929,-0.14479525078715,0.370922007401023,-0.236745847864541,0.168898100551891,0.724193491152247,-0.29034220354351,1,1,2,0.376154173987592,1.00245062667297,0,3603.59744296477,1.00210733308473,0,4965.02191935372
117,50,0.0610657309895837,-0.03652477213503,0.223706650395529,-0.046020531799261,-0.886178783961905,-0.00739698122927359,NA,NA,0,0,0,0.392859345327157,1.00320426785526,0,4499.64349989717,1.00127307188381,0,7979.41914124966
118,50,-0.0922190898575703,-0.119092655735837,-0.0535537640560113,-0.0435602355935928,-0.546088206181148,-0.218638797540978,NA,-0.278195530870315,0,1,1,0.326819733559079,1.00209050157107,0,4505.58613460958,1.00212448710639,0,6495.27004048399
119,50,-0.105340143385642,0.151088318982167,-0.164483898945073,0.131651281273544,-0.344806366040964,0.324377873566285,NA,NA,0,0,0,0.288572204494031,1.00281514005604,0,4277.70553158343,1.00219607055954,0,6969.43965605483
120,50,-0.00840968542214449,-0.0327548973591912,-0.0380691158069233,0.126447456703876,0.0213290968982891,-0.674756373141707,NA,NA,0,0,0,0.205395222732652,1.00236554021096,0,4705.06171915118,1.00057894594309,0,7105.00049384013
121,50,-0.124548414210177,-0.0303181836334884,-0.070810588471244,0.00405595029636563,-1.68426350479042,0.0361616185448493,NA,NA,0,0,0,0.287945959023786,1.00230464190863,0,4036.71163793829,1.00316837997322,0,6162.62472803635
122,50,0.0821993131438796,-0.137134062745042,0.0373641637738844,-0.206139108710909,-0.206714520436664,0.0160570788700565,0.800433242482328,NA,1,0,1,0.273055942174873,1.00304001138316,0,3852.20103554941,1.00069945539452,0,6225.22941616305
