"SimID","Size","LambdaIntDev","LambdaSlopeDev","IntraIntDev","IntraSlopeDev","GenericIntDev","GenericSlopeDev","NonGenericIntDev","NonGenericSlopeDev","NumNonGenericInt","NumNonGenericSlope","NumNonGenericSpecies","RMSE","PrelimMaxRhat","PrelimNumDiv","PrelimMeanNeff","FinalMaxRhat","FinalNumDiv","FinalMeanNeff"
1,10,-0.28655628322484,0.0384026253871037,-0.215128325510521,-0.000962516859821155,-3.84443962366875,-0.171870367079271,NA,NA,0,0,0,0.38870886114898,1.01500931916246,2,3776.60457294193,1.00118918772698,0,4860.56814066699
1,50,-0.141737033003333,0.0242502853855664,-0.223357237404191,0.0373984579639279,-0.983800553931465,-0.259714552865192,NA,0.887474735016519,0,1,1,0.298675290589078,1.00217217486538,0,3940.84518947365,1.00064178839841,0,6321.75353192886
1,200,-0.0428311601777007,-0.00707024526306144,0.00786900140044455,-0.0423967132735003,-0.958761161630941,-0.421965512540817,-0.700211963158686,-0.0428558951725715,1,2,3,0.298229627164066,1.00378063579747,0,3445.79456377965,1.00194668184598,0,5100.99415149081
2,10,-0.575959987934571,0.396834496752671,-0.598275099962135,0.418761425983323,-2.20691317266595,-0.124686211171035,NA,NA,0,0,0,0.272844227738847,1.00321483604444,2,4592.36138306693,1.00208352222957,0,5821.82757663284
2,50,-0.135122241872888,0.109941685040838,-0.0778361527043261,0.0675374143772015,-0.65730181798364,0.266068250708616,NA,NA,0,0,0,0.247276343422278,1.00357187048552,3,4178.9613046272,1.00079999367484,0,6513.26953758153
2,200,-0.0433724406147613,0.0113926775175448,-0.0428168899427521,0.00739706274037089,-0.130233566503327,-0.188356139508901,-0.333210962930742,-0.186160942257709,1,3,4,0.216136947615947,1.00255567751278,0,4030.6262997686,1.00140507680592,0,5440.95817375462
3,10,-0.0812133679784131,-0.00103447542483898,0.0160037379214399,0.0262690821807471,-2.74204067915428,0.0696687442350376,NA,NA,0,0,0,0.288548505741176,1.00591490697647,0,3876.53391603688,0.999996568785266,0,8671.79793643455
3,50,-0.138830541396594,-0.0734351074221721,0.00560242596730243,-0.136731343001569,-2.49772824270772,0.417899870687854,NA,NA,0,0,0,0.253438594113798,1.00158925455799,0,4068.32881928031,1.00420693796149,0,4780.09780515925
3,200,-0.00446256242964993,0.0276014511437765,0.0216779277292618,0.0393031703341374,-0.739026237371801,0.266029164504493,0.0441648127885879,0.330474434151604,2,3,4,0.210462795890258,1.0037674331885,0,3413.08722278723,1.00149055969294,0,6204.25907733999
4,10,0.148594948133128,-0.0266885090042702,-0.864573385011711,0.792159509025613,0.243784808226748,-0.451537290241997,NA,NA,0,0,0,0.494991047240583,1.00229432114226,0,3933.49826544318,1.00027038248909,0,7214.19058892321
4,50,-0.00371338131836541,-0.122459298500629,-0.0438764842603803,-0.316161291047609,-0.473999619809935,-0.265151559866892,0.234992168030324,NA,1,0,1,0.257980927268084,1.00242215311191,0,3829.67609260233,1.00099314394913,0,6642.07478990669
4,200,0.018995462483361,-0.0320148224860307,0.00454548340564509,-0.0301265820621066,0.0621619972658998,-0.134409132424807,-0.20008858181329,-0.0594017459261081,2,3,4,0.231857408439081,1.00577916285026,0,3238.3850739783,1.00134735751933,0,4300.566938821
5,10,0.151251053575257,-0.332762375922099,0.628163931504639,-0.242733107656533,-1.34375878423203,0.153350264793125,NA,NA,0,0,0,0.431912999218687,1.00227190128611,0,4212.88469233052,1.00128176506742,0,6327.32036606198
5,50,-0.159029197774538,-0.076149163586741,-0.421611811921168,-0.441705795179327,-0.829446643249732,0.280636348901747,NA,NA,0,0,0,0.344448037625996,1.00327767246696,0,4849.29720058276,1.00108643082339,0,6398.10831463478
5,200,-9.74742281524277e-05,0.0289810356308222,0.0076650469319941,0.0150170963330813,-0.411432965148395,-0.0385273146393555,NA,NA,0,0,0,0.340953636565434,1.00411001483564,1,3647.95664569601,1.00059819868325,0,7039.78613940195
6,10,-0.296102662868628,0.168045983056412,-0.795540921509157,0.734559224505187,-0.430820338360487,0.170780736599957,NA,NA,0,0,0,0.335576102832853,1.00264625702447,0,4164.63272492111,1.00192165093005,0,6083.54041228466
6,50,-0.0474730634825468,0.0230966862209759,0.0193200016093638,0.0558810153457819,-0.348220442238134,0.270623174728613,NA,NA,0,0,0,0.270626735875085,1.00150292718356,0,4147.44390063225,1.00011388014057,0,6367.11718139458
6,200,0.0264794050062779,0.0338901060251933,0.172981507277111,-0.0280588374714557,-0.391091885730893,0.383263444394718,0.49848675597257,NA,1,0,1,0.262914697392202,1.00330952734767,0,3560.99602165854,1.00188665764682,0,6993.64829404628
7,10,-0.590140920985934,0.180873927971662,-0.462063569942754,0.493008488921977,-3.57070543890106,-0.00979298330520614,NA,NA,0,0,0,0.45931712457813,1.00224884389893,0,4167.23457777789,1.00302821395256,0,6713.30988069979
7,50,-0.0542222197633724,0.0743034152302298,0.171271555440752,0.461987284834809,-0.721666553265369,-0.201670610547871,0.777898448801182,0.263065023926436,2,3,3,0.447597128100273,1.00348166257598,0,3411.2294436635,1.00175218429438,0,6368.51414066102
